date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,Inflation_USD,Inflation_Local,GDP
2006-05-01,THA,THB,Thailand,60.0,38.445,1.5606710885680801,0.05423332032773749,0.0,3343.78595174831
2007-06-01,THA,THB,Thailand,62.0,34.455,1.7994485560876499,0.15299666231316472,0.03333333333333333,3934.69090919863
2008-06-01,THA,THB,Thailand,62.0,33.36,1.8585131894484401,0.03282374100719402,0.0,4327.79747040393
2009-07-01,THA,THB,Thailand,64.49,34.165,1.88760427337919,0.01565287999886801,0.04016129032258056,4154.1874470784205
2010-07-01,THA,THB,Thailand,70.0,32.305,2.16684723726977,0.1479351195739131,0.08543960303923097,4996.37209760091
2011-07-01,THA,THB,Thailand,70.0,29.75,2.35294117647059,0.08588235294117867,0.0,5396.64358573682
2012-07-01,THA,THB,Thailand,82.0,31.7,2.58675078864353,0.09936908517349935,0.17142857142857143,5748.632720621579
2013-07-01,THA,THB,Thailand,89.0,31.275,2.8457234212629903,0.1001150299272793,0.08536585365853659,6041.13394794203
2014-07-01,THA,THB,Thailand,99.0,31.78,3.1151667715544398,0.09468360427376496,0.11235955056179775,5822.37778295314
2015-07-01,THA,THB,Thailand,108.0,34.0875,3.1683168316831702,0.017061706170616694,0.09090909090909091,5708.79409105798
2016-07-01,THA,THB,Thailand,119.0,34.965,3.4034034034034,0.07419919919919746,0.10185185185185185,5854.4639077194
2017-07-01,THA,THB,Thailand,119.0,34.0365,3.4962466763621403,0.027279538142876952,0.0,6436.78965986703
2018-07-01,THA,THB,Thailand,119.0,33.17,3.5875791377751,0.026123002713295856,0.0,7124.55881041403
2019-07-09,THA,THB,Thailand,119.0,30.8275,3.8601897656313398,0.07598734895791147,0.0,7628.576033073509
2020-07-01,THA,THB,Thailand,128.0,31.385,4.0783813923849,0.05652354935920478,0.07563025210084033,7001.8502868367295
2000-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,,,959.360431369138
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,0.0,0.0,1053.11231442789
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,0.060606060606067554,0.060606060606060566,1148.51425710711
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.057142857142863324,-0.057142857142857106,1288.63749134336
2004-05-01,CHN,CNY,China,10.4,8.28,1.256038647343,0.05050505050505775,0.050505050505050504,1508.66791560781
2005-06-01,CHN,CNY,China,10.5,8.2764,1.26866753661012,0.010054538762668595,0.009615384615384581,1753.41419160544
2006-05-01,CHN,CNY,China,10.5,8.026,1.30824819337154,0.031198604535258613,0.0,2099.2194300499
2007-06-01,CHN,CNY,China,11.0,7.6047,1.4464738911462598,0.10565709050856223,0.047619047619047616,2693.95873160283
2008-06-01,CHN,CNY,China,12.5,6.834,1.8290898448931798,0.2645163221326557,0.13636363636363635,3468.32706307504
2009-07-01,CHN,CNY,China,12.5,6.8327,1.82943785033735,0.00019026153643675415,0.0,3832.2274569094
2010-07-01,CHN,CNY,China,13.2,6.7769,1.9477932387965,0.06469494901798664,0.055999999999999946,4550.47394356715
2011-07-01,CHN,CNY,China,14.65,6.445,2.27307990690458,0.16700266826527627,0.10984848484848493,5614.38602225277
2012-07-01,CHN,CNY,China,15.65,6.3885,2.4497143304375095,0.07770708939725117,0.06825938566552901,6300.58217951734
2013-07-01,CHN,CNY,China,16.0,6.1341,2.60836960597317,0.06476480688559522,0.022364217252396144,7020.3860742288
2014-07-01,CHN,CNY,China,16.9,6.1983,2.72655405514415,0.04530970185373164,0.05624999999999991,7636.07434020616
2015-07-01,CHN,CNY,China,17.0,6.2092,2.73787283385943,0.004151312787628399,0.005917159763313694,8016.445594899979
2016-07-01,CHN,CNY,China,18.6,6.678,2.7852650494159903,0.017309867343164462,0.09411764705882361,8094.39016735149
